participant,silhouette,davies_bouldin,calinski_harabasz
P17,0.1348052879809299,2.2262771886367267,785.1453814572184
P24,0.13480151048145234,2.2257150677630135,785.1341472244831
P27,0.1338223476578741,2.179737310185375,795.1858669358837
P16,0.13368500355068955,2.1821409084797527,795.1605551462386
P21,0.1336810551643945,2.181985487986285,795.1636742306097
P7,0.13347393600345384,2.2220062442241164,787.2137366900018
P10,0.13339361029943486,2.2225222914882172,787.2325540803064
P28,0.13314079606975393,2.2433553464609917,783.8449784250655
P23,0.1329028798168377,2.243775258002497,783.985041079832
P26,0.13244618913378092,2.147831493685876,796.1788811662797
P22,0.13235803045695052,2.148071382608753,796.22572061265
P2,0.1323466143887624,2.150926563483722,796.1574067487426
P4,0.13233900309594523,2.1497412944715815,796.2379062364333
P3,0.13231445518117071,2.1499992017052385,796.2794894775988
P13,0.13230723900307162,2.1500016693488146,796.2819610343046
P8,0.1322938637947616,2.1498330851256626,796.2803990278264
P12,0.1322889282018004,2.1493259223952714,796.2142081362172
P14,0.13215443752817851,2.1511671430202504,796.2052733097772
P25,0.1320752652018992,2.145889538306192,796.2161729721687
P9,0.1316277426052041,2.255209754509608,784.2872201673
P6,0.13099678147579485,2.258959333965181,784.2264768534948
P15,0.1302848973252842,2.2642136352059343,784.2094655712947
P19,0.1300853819991068,2.254895735396716,784.6636817837123
P20,0.12999576555591683,2.2554981888713863,784.6281374776494
P1,0.12423062490124208,2.13852745887771,752.8659769193017
P11,0.12397131443092192,2.1406764112286236,752.8612290242241
P18,0.12319291310201408,2.111023569863672,753.831293294474
P5,0.12151891750784981,2.2553904640268074,751.7570441302628
